Attacker,Defender,Track,Outcome,Pit_Delta,Gap_Before,Tire_Delta,Def_Traffic_Gap,Att_Pit_Duration,Def_Pit_Duration,Track_Temp,Att_Hardness,Def_Hardness,Att_Compound,Def_Compound,Attacker_Lap,Defender_Lap,Target_Position
PER,SAI,Bahrain Grand Prix,fail,0.6280000000000001,2.883,2.0,20.308,24.917,24.289,27.0,1,2,SOFT,MEDIUM,43.0,44.0,2.0
ALO,OCO,Bahrain Grand Prix,success,-5.105,2.733,0.0,2.538,25.386,30.491,27.9,1,1,SOFT,SOFT,11.0,14.0,8.0
ALO,TSU,Bahrain Grand Prix,fail,0.37900000000000134,2.659,2.0,1.206,24.539,24.16,27.0,3,1,HARD,SOFT,42.0,44.0,10.0
HUL,LAT,Bahrain Grand Prix,fail,1.163999999999998,1.439,-6.0,7.937,25.799,24.635,26.7,2,2,MEDIUM,MEDIUM,44.0,45.0,17.0
RIC,HUL,Bahrain Grand Prix,success,-2.4269999999999996,2.067,-2.0,2.035,24.931,27.358,27.8,2,1,MEDIUM,SOFT,17.0,19.0,17.0
MSC,ALB,Bahrain Grand Prix,success,0.28200000000000003,2.826,-1.0,1.301,25.188,24.906,27.8,1,1,SOFT,SOFT,12.0,13.0,14.0
BOT,MAG,Saudi Arabian Grand Prix,unknown,0.40700000000000003,2.537,-20.0,8.926,22.789,22.382,27.6,3,3,HARD,HARD,35.0,37.0,7.0
GAS,BOT,Australian Grand Prix,fail,0.49599999999999866,-0.563,-1.0,0.196,18.909,18.413,36.8,2,2,MEDIUM,MEDIUM,21.0,22.0,14.0
PER,HAM,Australian Grand Prix,success,-0.5150000000000006,-0.524,-2.0,6.854,17.415,17.93,36.7,2,2,MEDIUM,MEDIUM,20.0,22.0,4.0
TSU,ZHO,Australian Grand Prix,success,0.05699999999999861,-0.598,-3.0,6.14,18.415,18.358,36.4,2,2,MEDIUM,MEDIUM,18.0,21.0,16.0
NOR,RIC,Australian Grand Prix,success,-0.5660000000000025,-0.754,-1.0,1.184,17.566,18.132,36.7,2,2,MEDIUM,MEDIUM,20.0,21.0,9.0
PER,LEC,Emilia Romagna Grand Prix,success,-1.4559999999999995,-0.935,-1.0,7.171,30.346,31.802,16.2,4,4,INTERMEDIATE,INTERMEDIATE,18.0,19.0,2.0
LEC,PER,Emilia Romagna Grand Prix,fail,0.3230000000000004,2.756,-2.0,19.292,30.059,29.736,16.9,2,2,MEDIUM,MEDIUM,49.0,50.0,2.0
VET,MAG,Emilia Romagna Grand Prix,success,-3.267999999999997,2.93,-1.0,9.126,30.486,33.754,16.2,4,4,INTERMEDIATE,INTERMEDIATE,17.0,18.0,7.0
ALO,GAS,Miami Grand Prix,fail,2.096,0.787,-1.0,9.325,21.596,19.5,46.5,2,2,MEDIUM,MEDIUM,15.0,16.0,7.0
MAG,MSC,Miami Grand Prix,success,-0.6739999999999995,-0.391,-2.0,0.596,19.736,20.41,45.6,2,2,MEDIUM,MEDIUM,12.0,14.0,12.0
SAI,TSU,Spanish Grand Prix,success,-0.8109999999999999,0.632,2.0,4.497,22.26,23.071,49.7,1,1,SOFT,SOFT,10.0,11.0,9.0
SAI,RIC,Spanish Grand Prix,success,0.142000000000003,1.537,-1.0,1.677,22.26,22.118,49.7,1,1,SOFT,SOFT,10.0,11.0,10.0
ALO,RIC,Spanish Grand Prix,success,0.2710000000000008,2.488,-4.0,1.677,22.389,22.118,49.7,1,1,SOFT,SOFT,10.0,11.0,10.0
TSU,MSC,Spanish Grand Prix,success,-0.5009999999999977,1.672,-3.0,4.804,23.071,23.572,49.7,1,1,SOFT,SOFT,11.0,12.0,8.0
